time,P_0,P_1,P_2,P_3,sound_speed
0.0,,,,,343.04
0.004,,,,,343.04
0.008,,,,,343.04
0.012,,,,,343.04
0.016,,,,,343.04
0.02,,,,,343.04
0.024,,,,,343.04
0.028,,,,,343.04
0.032,,,,,343.04
0.036,,,,,343.04
0.04,,,,,343.04
0.044,,,,,343.04
0.048,,,,,343.04
0.052,,,,,343.04
0.056,,,,,343.04
0.06,,,,,343.04
0.064,,,,,343.04
0.068,,,,,343.04
0.072,,,,,343.04
0.076,,,,,343.04
0.08,,,,,343.04
0.084,,,,,343.04
0.088,,,,,343.04
0.092,,,,,343.04
0.096,,,,,343.04
0.1,,,,,343.04
0.104,,,,,343.04
0.108,,,,,343.04
0.112,,,,,343.04
0.116,,,,,343.04
0.12,,,,,343.04
0.124,,,,,343.04
0.128,,,,,343.04
0.132,,,,,343.04
0.136,,,,,343.04
0.14,,,,,343.04
0.144,,,,,343.04
0.148,,,,,343.04
0.152,,,,,343.04
0.156,,,,,343.04
0.16,,,,,343.04
0.164,,,,,343.04
0.168,,,,,343.04
0.172,,,,,343.04
0.176,,,,,343.04
0.18,,,,,343.04
0.184,,,,,343.04
0.188,,,,,343.04
0.192,,,,,343.04
0.196,,,,,343.04
0.2,,,,,343.04
0.204,,,,,343.04
0.208,,,,,343.04
0.212,,,,,343.04
0.216,,,,,343.04
0.22,,,,,343.04
0.224,,,,,343.04
0.228,,,,,343.04
0.232,,,,,343.04
0.236,,,,,343.04
0.24,,,,,343.04
0.244,,,,,343.04
0.248,,,,,343.04
0.252,,,,,343.04
0.256,,,,,343.04
0.26,,,,,343.04
0.264,,,,,343.04
0.268,,,,,343.04
0.272,,,,,343.04
0.276,,,,,343.04
0.28,,,,,343.04
0.284,,,,,343.04
0.288,,,,,343.04
0.292,,,,,343.04
0.296,,,,,343.04
0.3,,,,,343.04
0.304,,,,,343.04
0.308,,,,,343.04
0.312,,,,,343.04
0.316,,,,,343.04
0.32,,,,,343.04
0.324,,,,,343.04
0.328,,,,,343.04
0.332,,,,,343.04
0.336,,,,,343.04
0.34,,,,,343.04
0.344,,,,,343.04
0.348,,,,,343.04
0.352,,,,,343.04
0.356,,,,,343.04
0.36,,,,,343.04
0.364,,,,,343.04
0.368,,,,,343.04
0.372,,,,,343.04
0.376,,,,,343.04
0.38,,,,,343.04
0.384,,,,,343.04
0.388,,,,,343.04
0.392,,,,,343.04
0.396,,,,,343.04
0.4,,,,,343.04
0.404,,,,,343.04
0.408,,,,,343.04
0.412,,,,,343.04
0.416,,,,,343.04
0.42,,,,,343.04
0.424,,,,,343.04
0.428,,,,,343.04
0.432,,,,,343.04
0.436,,,,,343.04
0.44,,,,,343.04
0.444,,,,,343.04
0.448,,,,,343.04
0.452,,,,,343.04
0.456,,,,,343.04
0.46,,,,,343.04
0.464,,,,,343.04
0.468,,,,,343.04
0.472,,,,,343.04
0.476,,,,,343.04
0.48,,,,,343.04
0.484,,,,,343.04
0.488,,,,,343.04
0.492,,,,,343.04
0.496,,,,,343.04
0.5,,,,,343.04
0.504,,,,,343.04
0.508,,,,,343.04
0.512,,,,,343.04
0.516,,,,,343.04
0.52,,,,,343.04
0.524,,,,,343.04
0.528,,,,,343.04
0.532,,,,,343.04
0.536,,,,,343.04
0.54,,,,,343.04
0.544,,,,,343.04
0.548,,,,,343.04
0.552,,,,,343.04
0.556,,,,,343.04
0.56,,,,,343.04
0.564,,,,,343.04
0.568,,,,,343.04
0.572,,,,,343.04
0.576,,,,,343.04
0.58,,,,,343.04
0.584,,,,,343.04
0.588,,,,,343.04
0.592,,,,,343.04
0.596,,,,,343.04
0.6,,,,,343.04
0.604,,,,,343.04
0.608,,,,,343.04
0.612,,,,,343.04
0.616,,,,,343.04
0.62,,,,,343.04
0.624,,,,,343.04
0.628,,,,,343.04
0.632,,,,,343.04
0.636,,,,,343.04
0.64,,,,,343.04
0.644,,,,,343.04
0.648,,,,,343.04
0.652,,,,,343.04
0.656,,,,,343.04
0.66,,,,,343.04
0.664,,,,,343.04
0.668,,,,,343.04
0.672,,,,,343.04
0.676,,,,,343.04
0.68,,,,,343.04
0.684,,,,,343.04
0.688,,,,,343.04
0.692,,,,,343.04
0.696,,,,,343.04
0.7,,,,,343.04
0.704,,,,,343.04
0.708,,,,,343.04
0.712,,,,,343.04
0.716,,,,,343.04
0.72,,,,,343.04
0.724,,,,,343.04
0.728,,,,,343.04
0.732,,,,,343.04
0.736,,,,,343.04
0.74,,,,,343.04
0.744,,,,,343.04
0.748,,,,,343.04
0.752,,,,,343.04
0.756,,,,,343.04
0.76,,,,,343.04
0.764,,,,,343.04
0.768,,,,,343.04
0.772,,,,,343.04
0.776,,,,,343.04
0.78,,,,,343.04
0.784,,,,,343.04
0.788,,,,,343.04
0.792,,,,,343.04
0.796,,,,,343.04
0.8,,,,,343.04
0.804,,,,,343.04
0.808,,,,,343.04
0.812,,,,,343.04
0.816,,,,,343.04
0.82,,,,,343.04
0.824,,,,,343.04
0.828,,,,,343.04
0.832,,,,,343.04
0.836,,,,,343.04
0.84,,,,,343.04
0.844,,,,,343.04
0.848,,,,,343.04
0.852,,,,,343.04
0.856,,,,,343.04
0.86,,,,,343.04
0.864,,,,,343.04
0.868,,,,,343.04
0.872,,,,,343.04
0.876,,,,,343.04
0.88,,,,,343.04
0.884,,,,,343.04
0.888,,,,,343.04
0.892,,,,,343.04
0.896,,,,,343.04
0.9,,,,,343.04
0.904,,,,,343.04
0.908,,,,,343.04
0.912,,,,,343.04
0.916,,,,,343.04
0.92,,,,,343.04
0.924,,,,,343.04
0.928,,,,,343.04
0.932,,,,,343.04
0.936,,,,,343.04
0.94,,,,,343.04
0.944,,,,,343.04
0.948,,,,,343.04
0.952,,,,,343.04
0.956,,,,,343.04
0.96,,,,,343.04
0.964,,,,,343.04
0.968,,,,,343.04
0.972,,,,,343.04
0.976,,,,,343.04
0.98,,,,,343.04
0.984,,,,,343.04
0.988,,,,,343.04
0.992,,,,,343.04
0.996,,,,,343.04
1.0,,,,,343.04
1.004,,,,,343.04
1.008,,,,,343.04
1.012,,,,,343.04
1.016,,,,,343.04
1.02,,,,,343.04
